"";"TIPO_REG";"ENCUESTA";"COD_VEREDA";"PRED_ETNICA";"S05_TENENCIA";"P_S6P71";"P_S6P65";"P_S6P66";"P_S7P84F";"P_S7P85B";"P_S12P150A";"P_S15P158B";"PRED_ETNICA_C";"S05_TENENCIA_C";"P_S6P71_C";"P_S6P65_c"
"1";"1";"1000819";"99001004";"7";"1";"6";"1";8298721,0141;9;30;30467737,988;5;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"2";"1";"1512138";"99001001";"7";"1";"6";"1";5886717,2555;12;60;6229413,8676;0;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"3";"1";"1512139";"99001004";"7";"1";"6";"1";7938264,1367;10;50;8284708,7992;0;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"4";"1";"1512140";"99001001";"7";"1";"6";"1";8453517,7078;21;67;12710673,715;9;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"5";"1";"1512141";"99001001";"7";"1";"6";"1";5741622,8488;12;60;6105907,9247;0;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"6";"1";"1641326";"99001001";"7";"1";"6";"1";19848996,284;249;809;28777254,577;4;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"7";"1";"1729011";"99001004";"7";"1";"9";"1";22115396,588;8;27;53168023,714;10;"Ninguno de los anteriores";"Propia";"Incendio";"Si"
"8";"1";"1744249";"99001004";"7";"1";"6";"1";32962020,641;16;70;61618327,189;2;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"9";"1";"1744259";"99001001";"7";"11";"6";"1";60906549,382;288;936;74553056,634;2;"Ninguno de los anteriores";"Mixta";"Sequía";"Si"
"10";"1";"83577326";"99001006";"7";"1";"6";"1";2216637,8325;109;440;2890973,9937;2;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
"11";"1";"83577327";"99001006";"7";"7";"6";"1";248896,30145;8;63;653706,09243;1;"Ninguno de los anteriores";"Propiedad colectiva";"Sequía";"Si"
"12";"1";"83577331";"99001002";"7";"1";"6";"1";3853251,0765;0;0;4461159,8893;2;"Ninguno de los anteriores";"Propia";"Sequía";"Si"
